congress,issue,mds
105,International.Affairs,-0.331455276
106,International.Affairs,-0.373207264
107,International.Affairs,-0.469020307
108,International.Affairs,-0.347490295
109,International.Affairs,-0.43648625
110,International.Affairs,-0.41831045
111,International.Affairs,-0.522656354
112,International.Affairs,-0.402675271
113,International.Affairs,-0.292201128
114,International.Affairs,-0.265992373
80,Labor,-0.18695946
81,Labor,-0.26546053
82,Labor,-0.157010508
83,Labor,-0.080104583
84,Labor,0.098149402
85,Labor,0.000522627
86,Labor,0.020317691
87,Labor,0.103660004
88,Labor,-0.092854085
89,Labor,-0.06096578
90,Labor,0.02449846
91,Labor,-0.201011089
92,Labor,0.048157045
93,Labor,0.083111086
94,Labor,0.187484425
95,Labor,0.431357695
96,Labor,0.44207516
97,Labor,0.393699509
98,Labor,0.408057372
99,Labor,0.205088108
100,Labor,0.236547806
101,Labor,0.219881094
102,Labor,0.112091059
103,Labor,0.258497075
104,Labor,0.329410811
105,Labor,0.113680942
106,Labor,0.392451084
107,Labor,0.347524719
108,Labor,0.234848181
109,Labor,0.038338925
110,Labor,-0.007580585
111,Labor,0.082956319
112,Labor,0.039773303
113,Labor,-0.252198484
114,Labor,-0.431949486
80,Law.Crime,-0.21951459
81,Law.Crime,-0.109892519
82,Law.Crime,-0.031127448
83,Law.Crime,-0.159048231
84,Law.Crime,-0.235359186
85,Law.Crime,-0.278211611
86,Law.Crime,-0.283564293
87,Law.Crime,-0.283159496
88,Law.Crime,-0.231833083
89,Law.Crime,0.035805299
90,Law.Crime,0.218049829
91,Law.Crime,0.356861096
92,Law.Crime,0.37765262
93,Law.Crime,0.359906508
94,Law.Crime,0.170972586
95,Law.Crime,0.259338155
96,Law.Crime,0.107705584
97,Law.Crime,0.608004773
98,Law.Crime,0.69356576
99,Law.Crime,0.656934612
100,Law.Crime,0.282233005
101,Law.Crime,0.16542138
102,Law.Crime,-0.027000036
103,Law.Crime,0.52967844
104,Law.Crime,0.40439051
105,Law.Crime,0.095418943
106,Law.Crime,0.466150818
107,Law.Crime,0.158180945
108,Law.Crime,0.213594952
109,Law.Crime,0.166670053
110,Law.Crime,0.053064093
111,Law.Crime,0.098727483
112,Law.Crime,-0.059071592
113,Law.Crime,0.162374367
114,Law.Crime,0.531523754
80,Public.Lands,1.057111573
81,Public.Lands,1.022497886
82,Public.Lands,1.067488352
83,Public.Lands,1.535918315
84,Public.Lands,1.450309222
85,Public.Lands,1.174690601
86,Public.Lands,1.128073525
87,Public.Lands,1.012590554
88,Public.Lands,0.777275299
89,Public.Lands,0.783175785
90,Public.Lands,0.430550284
91,Public.Lands,0.421798599
92,Public.Lands,0.859223074
93,Public.Lands,0.487435288
94,Public.Lands,0.514719049
95,Public.Lands,0.393962143
96,Public.Lands,0.657486328
97,Public.Lands,0.435177947
98,Public.Lands,0.69356576
99,Public.Lands,0.661955128
100,Public.Lands,1.074109781
101,Public.Lands,0.755401611
102,Public.Lands,0.72981916
103,Public.Lands,0.77899034
